25 Repair Kit (Unknown)
90 Repair Kit (Default)
91 Repair Kit (Upgrade 0)
92 Repair Kit (Upgrade 1)
93 Repair Kit (Upgrade 2)
94 Repair Kit (Upgrade 3)
100 Test archive_garage acquisition_log -- テスト用アーカイブ_ガレージ入手_ログ
101 Test archive_garage acquisition_terms -- テスト用アーカイブ_ガレージ入手_用語
102 Test archive_garage tips -- テスト用アーカイブ_ガレージ入手tips
110 Test archive_mission_log -- テスト用アーカイブ_ミッション_ログ
120 Test Archive_Mission_Term -- テスト用アーカイブ_ミッション_用語
10090000 Exchange item small -- 換金アイテム小
10091000 Items being exchanged for cash -- 換金アイテム中
10092000 Large exchange item -- 換金アイテム大
10099000 garbage scraps -- ゴミくず
11000000 Est bottle imitation test -- エスト瓶もどきテスト
13020000 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020010 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020020 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020030 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020040 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020050 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020060 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020070 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020080 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020090 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020100 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020110 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020120 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020130 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020140 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020150 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020160 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020170 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020180 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020190 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020200 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020210 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020220 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020230 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020240 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020250 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020260 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020270 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020280 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020290 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020300 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020310 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020320 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020330 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020340 Placement Archive_Mission -- 配置アーカイブ_ミッション
13020350 Placement Archive_Mission -- 配置アーカイブ_ミッション
