0 予約データ(使用禁止
1 本番用
10 関数テスト１
11 関数テスト２
12 関数テスト３
1000000 [無強化] ステータス影響なし
1000001 [魔法] ステータス影響なし
1000002 [雷] ステータス影響なし
1000003 [炎] ステータス影響なし
1000004 [闇] ステータス影響なし
1000005 [毒] ステータス影響なし
1000006 [出血] ステータス影響なし
1000007 [粗製] ステータス影響なし
1000008 [魔力] ステータス影響なし
1000009 [深淵] ステータス影響なし
1001000 [無強化] 筋力A 技量
1001001 [魔法] 筋力A 技量
1001002 [雷] 筋力A 技量
1001003 [炎] 筋力A 技量
1001004 [闇] 筋力A 技量
1001005 [毒] 筋力A 技量
1001006 [出血] 筋力A 技量
1001007 [粗製] 筋力A 技量
1001008 [魔力] 筋力A 技量
1001009 [深淵] 筋力A 技量
1001010 [無強化] 筋力A 技量
1001011 [魔法] 筋力A 技量
1001012 [雷] 筋力A 技量
1001013 [炎] 筋力A 技量
1001014 [闇] 筋力A 技量
1001015 [毒] 筋力A 技量
1001016 [出血] 筋力A 技量
1001017 [粗製] 筋力A 技量
1001018 [魔力] 筋力A 技量
1001019 [深淵] 筋力A 技量
1001020 [無強化] 筋力A 技量
1001021 [魔法] 筋力A 技量
1001022 [雷] 筋力A 技量
1001023 [炎] 筋力A 技量
1001024 [闇] 筋力A 技量
1001025 [毒] 筋力A 技量
1001026 [出血] 筋力A 技量
1001027 [粗製] 筋力A 技量
1001028 [魔力] 筋力A 技量
1001029 [深淵] 筋力A 技量
1002000 [無強化] 筋力B 技量
1002001 [魔法] 筋力B 技量
1002002 [雷] 筋力B 技量
1002003 [炎] 筋力B 技量
1002004 [闇] 筋力B 技量
1002005 [毒] 筋力B 技量
1002006 [出血] 筋力B 技量
1002007 [粗製] 筋力B 技量
1002008 [魔力] 筋力B 技量
1002009 [深淵] 筋力B 技量
1002010 [無強化] 筋力B 技量
1002011 [魔法] 筋力B 技量
1002012 [雷] 筋力B 技量
1002013 [炎] 筋力B 技量
1002014 [闇] 筋力B 技量
1002015 [毒] 筋力B 技量
1002016 [出血] 筋力B 技量
1002017 [粗製] 筋力B 技量
1002018 [魔力] 筋力B 技量
1002019 [深淵] 筋力B 技量
1002020 [無強化] 筋力B 技量
1002021 [魔法] 筋力B 技量
1002022 [雷] 筋力B 技量
1002023 [炎] 筋力B 技量
1002024 [闇] 筋力B 技量
1002025 [毒] 筋力B 技量
1002026 [出血] 筋力B 技量
1002027 [粗製] 筋力B 技量
1002028 [魔力] 筋力B 技量
1002029 [深淵] 筋力B 技量
1002030 [無強化] 筋力B 技量
1002031 [魔法] 筋力B 技量
1002032 [雷] 筋力B 技量
1002033 [炎] 筋力B 技量
1002034 [闇] 筋力B 技量
1002035 [毒] 筋力B 技量
1002036 [出血] 筋力B 技量
1002037 [粗製] 筋力B 技量
1002038 [魔力] 筋力B 技量
1002039 [深淵] 筋力B 技量
1002040 [無強化] 筋力B 技量
1002041 [魔法] 筋力B 技量
1002042 [雷] 筋力B 技量
1002043 [炎] 筋力B 技量
1002044 [闇] 筋力B 技量
1002045 [毒] 筋力B 技量
1002046 [出血] 筋力B 技量
1002047 [粗製] 筋力B 技量
1002048 [魔力] 筋力B 技量
1002049 [深淵] 筋力B 技量
1003000 [無強化] 筋力C 技量
1003001 [魔法] 筋力C 技量
1003002 [雷] 筋力C 技量
1003003 [炎] 筋力C 技量
1003004 [闇] 筋力C 技量
1003005 [毒] 筋力C 技量
1003006 [出血] 筋力C 技量
1003007 [粗製] 筋力C 技量
1003008 [魔力] 筋力C 技量
1003009 [深淵] 筋力C 技量
1003010 [無強化] 筋力C’ 技量
1003011 [魔法] 筋力C’ 技量
1003012 [雷] 筋力C’ 技量
1003013 [炎] 筋力C’ 技量
1003014 [闇] 筋力C’ 技量
1003015 [毒] 筋力C’ 技量
1003016 [出血] 筋力C’ 技量
1003017 [粗製] 筋力C’ 技量
1003018 [魔力] 筋力C’ 技量
1003019 [深淵] 筋力C’ 技量
1003020 [無強化] 筋力C 技量
1003021 [魔法] 筋力C 技量
1003022 [雷] 筋力C 技量
1003023 [炎] 筋力C 技量
1003024 [闇] 筋力C 技量
1003025 [毒] 筋力C 技量
1003026 [出血] 筋力C 技量
1003027 [粗製] 筋力C 技量
1003028 [魔力] 筋力C 技量
1003029 [深淵] 筋力C 技量
1003030 [無強化] 筋力C 技量
1003031 [魔法] 筋力C 技量
1003032 [雷] 筋力C 技量
1003033 [炎] 筋力C 技量
1003034 [闇] 筋力C 技量
1003035 [毒] 筋力C 技量
1003036 [出血] 筋力C 技量
1003037 [粗製] 筋力C 技量
1003038 [魔力] 筋力C 技量
1003039 [深淵] 筋力C 技量
1003050 [無強化] 筋力C 技量
1003051 [魔法] 筋力C 技量
1003052 [雷] 筋力C 技量
1003053 [炎] 筋力C 技量
1003054 [闇] 筋力C 技量
1003055 [毒] 筋力C 技量
1003056 [出血] 筋力C 技量
1003057 [粗製] 筋力C 技量
1003058 [魔力] 筋力C 技量
1003059 [深淵] 筋力C 技量
1003090 [無強化] 筋力C 技量
1003091 [魔法] 筋力C 技量
1003092 [雷] 筋力C 技量
1003093 [炎] 筋力C 技量
1003094 [闇] 筋力C 技量
1003095 [毒] 筋力C 技量
1003096 [出血] 筋力C 技量
1003097 [粗製] 筋力C 技量
1003098 [魔力] 筋力C 技量
1003099 [深淵] 筋力C 技量
1003100 [無強化] 筋力C 技量
1003101 [魔法] 筋力C 技量
1003102 [雷] 筋力C 技量
1003103 [炎] 筋力C 技量
1003104 [闇] 筋力C 技量
1003105 [毒] 筋力C 技量
1003106 [出血] 筋力C 技量
1003107 [粗製] 筋力C 技量
1003108 [魔力] 筋力C 技量
1003109 [深淵] 筋力C 技量
1003110 [無強化] オーンスタインの槍：筋力E 技量B 雷
1003111 [初属：魔法] オーンスタインの槍：筋力E 技量B 雷
1003112 [初属：雷] オーンスタインの槍：筋力E 技量B 雷
1003113 [初属：炎] オーンスタインの槍：筋力E 技量B 雷
1003114 [初属：闇] オーンスタインの槍：筋力E 技量B 雷
1003115 [初属：毒] オーンスタインの槍：筋力E 技量B 雷
1003116 [初属：出血] オーンスタインの槍：筋力E 技量B 雷
1003117 [初属：粗製] オーンスタインの槍：筋力E 技量B 雷
1003118 [初属：魔力] オーンスタインの槍：筋力E 技量B 雷
1003119 [初属：深淵] オーンスタインの槍：筋力E 技量B 雷
1003120 [無強化] 王妃の騎士A：筋力C 技量D 雷
1003121 [初属：魔法] 王妃の騎士A：筋力C 技量D 雷
1003122 [初属：雷] 王妃の騎士A：筋力C 技量D 雷
