20 【NPC吟遊詩人の少女１】 NPC吟遊詩人の少女１　ミルファリー
21 【NPC吟遊詩人の少女１】 NPC吟遊詩人の少女１　ミルファリー(亡霊）
25 【NPC吟遊詩人の少女２】 NPC吟遊詩人の少女２　ニナ
26 【NPC吟遊詩人の少女２】 NPC吟遊詩人の少女２　ニナ（亡霊）
660 【黒霊】マルチ用NPC：魔導士（男）
666 【塔1外左手の小島_白霊】マルチ用NPC：ランサー（女）
802 美声カエル
802 美声カエル
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
1200 【塔1_サブルート1_宝箱の裏】 毒角虫
