0 テスト用
1 なにもしない用
2 あたりさわりのないデータ（コピペ元推奨）
10 アニメチェック用ロジック：近
11 アニメチェック用ロジック：遠
50 石崎テスト
100 自動巡回用(デフォルト
540 自動巡回用(走り
541 自動巡回用(歩き
542 自動巡回用(スーパーダッシュ
10000 集団巡回ダミーリーダー
10001 ファンネル用
10010 街マップスナイパーの小隊ターゲット用ダミーキャラ
10200 NPCロジックテスト用
20000 NPCサブゴールテスト00:戦闘
20001 NPCサブゴールテスト01:歩行・走行
20002 NPCサブゴールテスト02:クイックターン・左右移動
20003 NPCサブゴールテスト03:後退・ステップ
20010 NPCテスト00：テスト
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
90390 地下牢 器オブジェ（弾丸オーナー用）
